MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21223532,400000.0,85737,-110.944989,32.399679,0.51,8849.45,1999,3,4.0,4093.0,3.0,0,1.0,2,45.0
21722420,530000.0,85737,-110.981701,32.387787,0.65,4945.49,1969,5,5.0,3300.0,2.0,0,1.0,2,45.0
21612610,535000.0,85749,-110.72756,32.264501,0.86,4850.73,1996,4,3.0,3425.0,3.0,4,4.0,2,45.0
21128448,525000.0,85742,-111.023099,32.374518,0.35,4056.0,2007,5,3.0,3641.0,3.0,5,1.0,2,45.0
21821929,556500.0,85755,-110.986543,32.43499,0.57,6441.02,2002,4,3.0,2957.0,3.0,8,1.0,2,45.0
21626910,533990.0,85755,-110.984974,32.446443,0.21,900.22,2016,4,4.0,3194.0,3.0,5,0.0,2,45.0
21720492,549450.0,85718,-110.93763,32.342802,1.07,6374.5,1981,4,3.0,2799.0,3.0,4,2.0,2,45.0
21716636,537840.0,85755,-110.987133,32.452166,0.2,252.59,2017,4,4.0,3194.0,3.0,5,0.0,2,45.0
21527622,562500.0,85749,-110.726756,32.261082,1.66,5452.6,2002,4,4.0,4573.0,6.0,1,1.0,3,45.0
21332748,550000.0,85755,-110.988242,32.456366,0.19,4798.0,2001,2,3.0,2549.0,3.0,5,2.0,2,45.0
21405366,560000.0,85749,-110.780413,32.248935,2.59,6614.0,1982,6,5.0,4810.0,3.0,6,2.0,3,45.0
21407015,540000.0,85755,-110.98988,32.434218,0.52,4896.0,2006,4,3.0,2675.0,3.0,3,1.0,2,45.0
21412571,545000.0,85749,-110.770583,32.290851,0.83,3818.21,1999,4,3.0,3167.0,3.0,5,2.0,2,45.0
21415331,515000.0,85748,-110.723564,32.236174,3.3,3685.38,1979,4,4.0,2562.0,2.0,4,2.0,2,45.0
21520239,545000.0,85737,-110.970404,32.406283,0.5,5519.0,2004,3,3.0,2533.0,3.0,4,3.0,2,45.0
21520860,551000.0,85718,-110.946085,32.308526,1.18,5056.26,1997,3,3.0,3482.0,3.0,5,1.0,2,45.0
21523889,543720.0,85755,-110.982174,32.433011,0.72,5713.0,2001,4,3.0,3084.0,3.0,5,1.0,2,45.0
21518816,539000.0,85737,-110.965378,32.415197,3.38,8150.78,1993,4,3.0,3495.0,2.0,5,2.0,2,45.0
21321758,535000.0,85750,-110.87353,32.330213,0.13,3604.46,1987,3,2.0,2648.0,2.0,5,1.0,2,45.0
21225472,490000.0,85718,-110.956184,32.297818,0.17,4451.94,2004,3,3.0,2704.0,3.0,5,1.0,2,45.0
21229705,530000.0,85755,-110.985398,32.437675,0.6,5127.69,2001,4,3.0,3185.0,3.0,5,1.0,2,45.0
21227348,550000.0,85704,-110.967938,32.313423,2.09,4029.16,1941,3,3.0,3238.0,0.0,4,3.0,2,45.0
21319442,560000.0,85718,-110.919298,32.316896,0.0,3560.84,2005,3,3.0,2050.0,2.0,5,2.0,3,45.0
21230448,550000.0,85718,-110.881645,32.324908,1.0,6229.62,1964,5,4.0,4185.0,4.0,5,1.0,3,45.0
21808396,560000.0,85742,-111.054465,32.383574,9.55,9348.83,1982,4,5.0,4282.0,13.0,9,1.0,3,45.0
21803168,530000.0,85745,-111.052077,32.229396,4.41,2097.9,1997,2,2.0,2528.0,2.0,10,3.0,2,45.0
21812887,545000.0,85742,-111.021088,32.391962,1.0,5467.48,2005,4,3.0,2519.0,3.0,8,1.0,2,45.0
21808259,550000.0,85749,-110.736943,32.299293,3.33,5471.73,1993,3,3.0,2457.0,3.0,11,1.0,3,45.0
